ROK;NAROZENI;OKRES;KRAJ;ID_KRAJ
2005;11943;Hlavní město Praha ;Praha;CZ010
2005;882;Benešov;Středočeský;CZ020
2005;831;Beroun;Středočeský;CZ020
2005;1637;Kladno;Středočeský;CZ020
2005;1024;Kolín;Středočeský;CZ020
2005;682;Kutná Hora;Středočeský;CZ020
2005;986;Mělník;Středočeský;CZ020
2005;1190;Mladá Boleslav;Středočeský;CZ020
2005;950;Nymburk;Středočeský;CZ020
2005;1240;Praha-východ;Středočeský;CZ020
2005;1221;Praha-západ;Středočeský;CZ020
2005;986;Příbram;Středočeský;CZ020
2005;484;Rakovník;Středočeský;CZ020
2005;1791;České Budějovice;Jihočeský;CZ031
2005;669;Český Krumlov;Jihočeský;CZ031
2005;880;Jindřichův Hradec;Jihočeský;CZ031
2005;662;Písek;Jihočeský;CZ031
2005;499;Prachatice;Jihočeský;CZ031
2005;666;Strakonice;Jihočeský;CZ031
2005;970;Tábor;Jihočeský;CZ031
2005;595;Domažlice;Plzeňský;CZ032
2005;865;Klatovy;Plzeňský;CZ032
2005;1673;Plzeň-město;Plzeňský;CZ032
2005;646;Plzeň-jih;Plzeňský;CZ032
2005;737;Plzeň-sever;Plzeňský;CZ032
2005;399;Rokycany;Plzeňský;CZ032
2005;530;Tachov;Plzeňský;CZ032
2005;944;Cheb;Karlovarský;CZ041
2005;1138;Karlovy Vary;Karlovarský;CZ041
2005;932;Sokolov;Karlovarský;CZ041
2005;1450;Děčín;Ústecký;CZ042
2005;1336;Chomutov;Ústecký;CZ042
2005;1171;Litoměřice;Ústecký;CZ042
2005;840;Louny;Ústecký;CZ042
2005;1192;Most;Ústecký;CZ042
2005;1345;Teplice;Ústecký;CZ042
2005;1391;Ústí nad Labem;Ústecký;CZ042
2005;1102;Česká Lípa;Liberecký;CZ051
2005;820;Jablonec nad Nisou;Liberecký;CZ051
2005;1608;Liberec ;Liberecký;CZ051
2005;741;Semily;Liberecký;CZ051
2005;1547;Hradec Králové;Královéhradecký;CZ052
2005;776;Jičín;Královéhradecký;CZ052
2005;1135;Náchod;Královéhradecký;CZ052
2005;744;Rychnov nad Kněžnou;Královéhradecký;CZ052
2005;1203;Trutnov;Královéhradecký;CZ052
2005;1027;Chrudim;Pardubický;CZ053
2005;1471;Pardubice;Pardubický;CZ053
2005;988;Svitavy;Pardubický;CZ053
2005;1423;Ústí nad Orlicí;Pardubický;CZ053
2005;927;Havlíčkův Brod;Kraj Vysočina;CZ061
2005;1109;Jihlava;Kraj Vysočina;CZ061
2005;673;Pelhřimov;Kraj Vysočina;CZ061
2005;1160;Třebíč;Kraj Vysočina;CZ061
2005;1201;Žďár nad Sázavou;Kraj Vysočina;CZ061
2005;1013;Blansko;Jihomoravský;CZ062
2005;3906;Brno-město;Jihomoravský;CZ062
2005;1796;Brno-venkov;Jihomoravský;CZ062
2005;1129;Břeclav;Jihomoravský;CZ062
2005;1385;Hodonín;Jihomoravský;CZ062
2005;825;Vyškov;Jihomoravský;CZ062
2005;1095;Znojmo;Jihomoravský;CZ062
2005;394;Jeseník;Olomoucký;CZ071
2005;2260;Olomouc;Olomoucký;CZ071
2005;1055;Prostějov;Olomoucký;CZ071
2005;1288;Přerov;Olomoucký;CZ071
2005;1186;Šumperk;Olomoucký;CZ071
2005;975;Kroměříž;Zlínský;CZ072
2005;1355;Uherské Hradiště;Zlínský;CZ072
2005;1454;Vsetín;Zlínský;CZ072
2005;1886;Zlín;Zlínský;CZ072
2005;978;Bruntál;Moravskoslezský;CZ080
2005;2110;Frýdek-Místek;Moravskoslezský;CZ080
2005;2429;Karviná;Moravskoslezský;CZ080
2005;1608;Nový Jičín;Moravskoslezský;CZ080
2005;1783;Opava;Moravskoslezský;CZ080
2005;3269;Ostrava-město;Moravskoslezský;CZ080
