ROK;NAROZENI;OKRES;KRAJ;ID_KRAJ
2007;13195;Hlavní město Praha ;Praha;CZ010
2007;1018;Benešov;Středočeský;CZ020
2007;977;Beroun;Středočeský;CZ020
2007;1916;Kladno;Středočeský;CZ020
2007;1040;Kolín;Středočeský;CZ020
2007;793;Kutná Hora;Středočeský;CZ020
2007;1146;Mělník;Středočeský;CZ020
2007;1376;Mladá Boleslav;Středočeský;CZ020
2007;1135;Nymburk;Středočeský;CZ020
2007;1710;Praha-východ;Středočeský;CZ020
2007;1456;Praha-západ;Středočeský;CZ020
2007;1148;Příbram;Středočeský;CZ020
2007;564;Rakovník;Středočeský;CZ020
2007;2060;České Budějovice;Jihočeský;CZ031
2007;762;Český Krumlov;Jihočeský;CZ031
2007;999;Jindřichův Hradec;Jihočeský;CZ031
2007;692;Písek;Jihočeský;CZ031
2007;546;Prachatice;Jihočeský;CZ031
2007;780;Strakonice;Jihočeský;CZ031
2007;1083;Tábor;Jihočeský;CZ031
2007;694;Domažlice;Plzeňský;CZ032
2007;913;Klatovy;Plzeňský;CZ032
2007;1955;Plzeň-město;Plzeňský;CZ032
2007;624;Plzeň-jih;Plzeňský;CZ032
2007;839;Plzeň-sever;Plzeňský;CZ032
2007;471;Rokycany;Plzeňský;CZ032
2007;604;Tachov;Plzeňský;CZ032
2007;1093;Cheb;Karlovarský;CZ041
2007;1301;Karlovy Vary;Karlovarský;CZ041
2007;1044;Sokolov;Karlovarský;CZ041
2007;1627;Děčín;Ústecký;CZ042
2007;1402;Chomutov;Ústecký;CZ042
2007;1384;Litoměřice;Ústecký;CZ042
2007;999;Louny;Ústecký;CZ042
2007;1332;Most;Ústecký;CZ042
2007;1518;Teplice;Ústecký;CZ042
2007;1453;Ústí nad Labem;Ústecký;CZ042
2007;1294;Česká Lípa;Liberecký;CZ051
2007;996;Jablonec nad Nisou;Liberecký;CZ051
2007;1976;Liberec ;Liberecký;CZ051
2007;779;Semily;Liberecký;CZ051
2007;1751;Hradec Králové;Královéhradecký;CZ052
2007;892;Jičín;Královéhradecký;CZ052
2007;1225;Náchod;Královéhradecký;CZ052
2007;889;Rychnov nad Kněžnou;Královéhradecký;CZ052
2007;1365;Trutnov;Královéhradecký;CZ052
2007;1126;Chrudim;Pardubický;CZ053
2007;1836;Pardubice;Pardubický;CZ053
2007;1193;Svitavy;Pardubický;CZ053
2007;1554;Ústí nad Orlicí;Pardubický;CZ053
2007;1031;Havlíčkův Brod;Kraj Vysočina;CZ061
2007;1198;Jihlava;Kraj Vysočina;CZ061
2007;677;Pelhřimov;Kraj Vysočina;CZ061
2007;1179;Třebíč;Kraj Vysočina;CZ061
2007;1288;Žďár nad Sázavou;Kraj Vysočina;CZ061
2007;1127;Blansko;Jihomoravský;CZ062
2007;4209;Brno-město;Jihomoravský;CZ062
2007;2201;Brno-venkov;Jihomoravský;CZ062
2007;1076;Břeclav;Jihomoravský;CZ062
2007;1551;Hodonín;Jihomoravský;CZ062
2007;918;Vyškov;Jihomoravský;CZ062
2007;1289;Znojmo;Jihomoravský;CZ062
2007;416;Jeseník;Olomoucký;CZ071
2007;2559;Olomouc;Olomoucký;CZ071
2007;1211;Prostějov;Olomoucký;CZ071
2007;1398;Přerov;Olomoucký;CZ071
2007;1347;Šumperk;Olomoucký;CZ071
2007;1123;Kroměříž;Zlínský;CZ072
2007;1425;Uherské Hradiště;Zlínský;CZ072
2007;1556;Vsetín;Zlínský;CZ072
2007;1955;Zlín;Zlínský;CZ072
2007;1064;Bruntál;Moravskoslezský;CZ080
2007;2246;Frýdek-Místek;Moravskoslezský;CZ080
2007;2737;Karviná;Moravskoslezský;CZ080
2007;1714;Nový Jičín;Moravskoslezský;CZ080
2007;1950;Opava;Moravskoslezský;CZ080
2007;3662;Ostrava-město;Moravskoslezský;CZ080
