ROK;NAROZENI;OKRES;KRAJ;ID_KRAJ
2009;14488;Hlavní město Praha ;Praha;CZ010
2009;1103;Benešov;Středočeský;CZ020
2009;1000;Beroun;Středočeský;CZ020
2009;1807;Kladno;Středočeský;CZ020
2009;1129;Kolín;Středočeský;CZ020
2009;781;Kutná Hora;Středočeský;CZ020
2009;1197;Mělník;Středočeský;CZ020
2009;1457;Mladá Boleslav;Středočeský;CZ020
2009;1144;Nymburk;Středočeský;CZ020
2009;2054;Praha-východ;Středočeský;CZ020
2009;1802;Praha-západ;Středočeský;CZ020
2009;1175;Příbram;Středočeský;CZ020
2009;570;Rakovník;Středočeský;CZ020
2009;2090;České Budějovice;Jihočeský;CZ031
2009;778;Český Krumlov;Jihočeský;CZ031
2009;978;Jindřichův Hradec;Jihočeský;CZ031
2009;729;Písek;Jihočeský;CZ031
2009;577;Prachatice;Jihočeský;CZ031
2009;768;Strakonice;Jihočeský;CZ031
2009;1107;Tábor;Jihočeský;CZ031
2009;710;Domažlice;Plzeňský;CZ032
2009;944;Klatovy;Plzeňský;CZ032
2009;2185;Plzeň-město;Plzeňský;CZ032
2009;715;Plzeň-jih;Plzeňský;CZ032
2009;793;Plzeň-sever;Plzeňský;CZ032
2009;474;Rokycany;Plzeňský;CZ032
2009;591;Tachov;Plzeňský;CZ032
2009;1129;Cheb;Karlovarský;CZ041
2009;1232;Karlovy Vary;Karlovarský;CZ041
2009;1064;Sokolov;Karlovarský;CZ041
2009;1569;Děčín;Ústecký;CZ042
2009;1474;Chomutov;Ústecký;CZ042
2009;1296;Litoměřice;Ústecký;CZ042
2009;1052;Louny;Ústecký;CZ042
2009;1340;Most;Ústecký;CZ042
2009;1424;Teplice;Ústecký;CZ042
2009;1471;Ústí nad Labem;Ústecký;CZ042
2009;1228;Česká Lípa;Liberecký;CZ051
2009;1073;Jablonec nad Nisou;Liberecký;CZ051
2009;2056;Liberec ;Liberecký;CZ051
2009;849;Semily;Liberecký;CZ051
2009;1854;Hradec Králové;Královéhradecký;CZ052
2009;890;Jičín;Královéhradecký;CZ052
2009;1292;Náchod;Královéhradecký;CZ052
2009;905;Rychnov nad Kněžnou;Královéhradecký;CZ052
2009;1320;Trutnov;Královéhradecký;CZ052
2009;1077;Chrudim;Pardubický;CZ053
2009;1880;Pardubice;Pardubický;CZ053
2009;1126;Svitavy;Pardubický;CZ053
2009;1561;Ústí nad Orlicí;Pardubický;CZ053
2009;977;Havlíčkův Brod;Kraj Vysočina;CZ061
2009;1328;Jihlava;Kraj Vysočina;CZ061
2009;697;Pelhřimov;Kraj Vysočina;CZ061
2009;1153;Třebíč;Kraj Vysočina;CZ061
2009;1292;Žďár nad Sázavou;Kraj Vysočina;CZ061
2009;1192;Blansko;Jihomoravský;CZ062
2009;4578;Brno-město;Jihomoravský;CZ062
2009;2408;Brno-venkov;Jihomoravský;CZ062
2009;1212;Břeclav;Jihomoravský;CZ062
2009;1503;Hodonín;Jihomoravský;CZ062
2009;1001;Vyškov;Jihomoravský;CZ062
2009;1251;Znojmo;Jihomoravský;CZ062
2009;437;Jeseník;Olomoucký;CZ071
2009;2681;Olomouc;Olomoucký;CZ071
2009;1242;Prostějov;Olomoucký;CZ071
2009;1405;Přerov;Olomoucký;CZ071
2009;1369;Šumperk;Olomoucký;CZ071
2009;1074;Kroměříž;Zlínský;CZ072
2009;1468;Uherské Hradiště;Zlínský;CZ072
2009;1566;Vsetín;Zlínský;CZ072
2009;1968;Zlín;Zlínský;CZ072
2009;1021;Bruntál;Moravskoslezský;CZ080
2009;2254;Frýdek-Místek;Moravskoslezský;CZ080
2009;2728;Karviná;Moravskoslezský;CZ080
2009;1727;Nový Jičín;Moravskoslezský;CZ080
2009;1893;Opava;Moravskoslezský;CZ080
2009;3615;Ostrava-město;Moravskoslezský;CZ080
