ROK;NAROZENI;OKRES;KRAJ;ID_KRAJ
2003;10057;Hlavní město Praha ;Praha;CZ010
2003;827;Benešov;Středočeský;CZ020
2003;682;Beroun;Středočeský;CZ020
2003;1474;Kladno;Středočeský;CZ020
2003;956;Kolín;Středočeský;CZ020
2003;610;Kutná Hora;Středočeský;CZ020
2003;915;Mělník;Středočeský;CZ020
2003;1008;Mladá Boleslav;Středočeský;CZ020
2003;810;Nymburk;Středočeský;CZ020
2003;1006;Praha-východ;Středočeský;CZ020
2003;887;Praha-západ;Středočeský;CZ020
2003;970;Příbram;Středočeský;CZ020
2003;488;Rakovník;Středočeský;CZ020
2003;1639;České Budějovice;Jihočeský;CZ031
2003;612;Český Krumlov;Jihočeský;CZ031
2003;826;Jindřichův Hradec;Jihočeský;CZ031
2003;660;Písek;Jihočeský;CZ031
2003;479;Prachatice;Jihočeský;CZ031
2003;607;Strakonice;Jihočeský;CZ031
2003;913;Tábor;Jihočeský;CZ031
2003;560;Domažlice;Plzeňský;CZ032
2003;797;Klatovy;Plzeňský;CZ032
2003;1415;Plzeň-město;Plzeňský;CZ032
2003;598;Plzeň-jih;Plzeňský;CZ032
2003;690;Plzeň-sever;Plzeňský;CZ032
2003;374;Rokycany;Plzeňský;CZ032
2003;500;Tachov;Plzeňský;CZ032
2003;846;Cheb;Karlovarský;CZ041
2003;1128;Karlovy Vary;Karlovarský;CZ041
2003;913;Sokolov;Karlovarský;CZ041
2003;1401;Děčín;Ústecký;CZ042
2003;1262;Chomutov;Ústecký;CZ042
2003;1092;Litoměřice;Ústecký;CZ042
2003;884;Louny;Ústecký;CZ042
2003;1094;Most;Ústecký;CZ042
2003;1293;Teplice;Ústecký;CZ042
2003;1318;Ústí nad Labem;Ústecký;CZ042
2003;1084;Česká Lípa;Liberecký;CZ051
2003;827;Jablonec nad Nisou;Liberecký;CZ051
2003;1494;Liberec ;Liberecký;CZ051
2003;640;Semily;Liberecký;CZ051
2003;1370;Hradec Králové;Královéhradecký;CZ052
2003;689;Jičín;Královéhradecký;CZ052
2003;1076;Náchod;Královéhradecký;CZ052
2003;827;Rychnov nad Kněžnou;Královéhradecký;CZ052
2003;1131;Trutnov;Královéhradecký;CZ052
2003;951;Chrudim;Pardubický;CZ053
2003;1404;Pardubice;Pardubický;CZ053
2003;960;Svitavy;Pardubický;CZ053
2003;1330;Ústí nad Orlicí;Pardubický;CZ053
2003;839;Havlíčkův Brod;Kraj Vysočina;CZ061
2003;1012;Jihlava;Kraj Vysočina;CZ061
2003;638;Pelhřimov;Kraj Vysočina;CZ061
2003;1122;Třebíč;Kraj Vysočina;CZ061
2003;1164;Žďár nad Sázavou;Kraj Vysočina;CZ061
2003;974;Blansko;Jihomoravský;CZ062
2003;3367;Brno-město;Jihomoravský;CZ062
2003;1498;Brno-venkov;Jihomoravský;CZ062
2003;1034;Břeclav;Jihomoravský;CZ062
2003;1281;Hodonín;Jihomoravský;CZ062
2003;771;Vyškov;Jihomoravský;CZ062
2003;1082;Znojmo;Jihomoravský;CZ062
2003;375;Jeseník;Olomoucký;CZ071
2003;2091;Olomouc;Olomoucký;CZ071
2003;1001;Prostějov;Olomoucký;CZ071
2003;1212;Přerov;Olomoucký;CZ071
2003;1151;Šumperk;Olomoucký;CZ071
2003;878;Kroměříž;Zlínský;CZ072
2003;1263;Uherské Hradiště;Zlínský;CZ072
2003;1291;Vsetín;Zlínský;CZ072
2003;1715;Zlín;Zlínský;CZ072
2003;951;Bruntál;Moravskoslezský;CZ080
2003;2054;Frýdek-Místek;Moravskoslezský;CZ080
2003;2360;Karviná;Moravskoslezský;CZ080
2003;1527;Nový Jičín;Moravskoslezský;CZ080
2003;1650;Opava;Moravskoslezský;CZ080
2003;3010;Ostrava-město;Moravskoslezský;CZ080
