ID_KRAJ;KRAJ
CZ010;Hlavní město Praha
CZ020;Středočeský
CZ031;Jihočeský
CZ032;Plzeňský
CZ041;Karlovarský
CZ042;Ústecký
CZ051;Liberecký
CZ052;Královehradecký
CZ053;Pardubický
CZ061;Kraj Vysočina
CZ062;Jihomoravský
CZ071;Olomoucký
CZ072;Zlínský
CZ080;Moravskoslezský
